# x_m,y_m,w_tr_right_m,w_tr_left_m
160.8917677,-1789.42316,6,6
162.9874688,-1782.88077,6,6
165.0831639,-1776.33822,6,6
167.1788523,-1769.79567,6,6
169.2745335,-1763.25327,6,6
171.3702086,-1756.71071,6,6
173.2329892,-1750.0741,6,6
174.2962725,-1743.11467,6,6
175.3588215,-1736.15508,6,6
176.4228157,-1729.19565,6,6
177.4860752,-1722.23622,6,6
178.5493272,-1715.27663,6,6
179.2404662,-1708.29148,6,6
178.7575256,-1701.22484,6,6
178.2745763,-1694.15835,6,6
177.7916202,-1687.09186,6,6
177.3086634,-1680.02522,6,6
176.8256979,-1672.95874,6,6
176.2174922,-1665.9236,6,6
174.7188269,-1659.11144,6,6
173.1554595,-1652.33146,6,6
170.8724098,-1645.91027,6,6
168.5893538,-1639.48908,6,6
166.3062916,-1633.06789,6,6
163.603818,-1626.94991,6,6
160.7328657,-1620.95374,6,6
157.8611396,-1614.95772,6,6
154.9897926,-1608.96171,6,6
152.1184404,-1602.9657,6,6
149.2470837,-1596.96954,6,6
145.9988706,-1591.42923,6,6
142.2710505,-1586.40662,6,6
139.0107212,-1580.76704,6,6
135.7503878,-1575.12745,6,6
132.4900502,-1569.48788,6,6
129.2297079,-1563.84846,6,6
125.9322128,-1558.24719,6,6
122.5603321,-1552.72283,6,6
119.1884476,-1547.19849,6,6
115.8168657,-1541.67414,6,6
112.4446671,-1536.1498,6,6
109.1058657,-1530.59162,6,6
105.8451356,-1524.95208,6,6
102.5847994,-1519.31254,6,6
99.32445898,-1513.673,6,6
96.06411447,-1508.03347,6,6
92.80386573,-1502.39409,6,6
89.54341249,-1496.75457,6,6
86.28305557,-1491.11504,6,6
83.02269451,-1485.47553,6,6
79.76186573,-1479.83601,6,6
76.50195946,-1474.19666,6,6
73.24105531,-1468.55715,6,6
69.98068917,-1462.91765,6,6
66.72032013,-1457.27831,6,6
63.46044027,-1451.63882,6,6
60.20005027,-1445.99933,6,6
56.85653301,-1440.44614,6,6
53.46984049,-1434.9371,6,6
50.08469141,-1429.42807,6,6
46.69788685,-1423.91904,6,6
43.31127924,-1418.41002,6,6
39.92612386,-1412.901,6,6
36.53886573,-1407.39198,6,6
33.15269911,-1401.88297,6,6
29.7659836,-1396.37396,6,6
26.38049192,-1390.86496,6,6
22.99424613,-1385.35596,6,6
18.90387897,-1380.83247,6,6
14.5262308,-1376.71098,6,6
10.14858245,-1372.58933,6,6
5.77131553,-1368.46785,6,6
1.39328249,-1364.34637,6,6
-2.984368579,-1360.22489,6,6
-7.83647832,-1360.67305,6,6
-12.89531895,-1363.11805,6,6
-17.95440822,-1365.56304,6,6
-23.01349567,-1368.00803,6,6
-28.07258129,-1370.45302,6,6
-33.13166507,-1372.89801,6,6
-38.19074703,-1375.34299,6,6
-43.24982716,-1377.78797,6,6
-48.30890545,-1380.23295,6,6
-53.36798192,-1382.67792,6,6
-58.42705656,-1385.1229,6,6
-63.48613427,-1387.56786,6,6
-68.54520034,-1390.01283,6,6
-73.60426895,-1392.45764,6,6
-78.66313427,-1394.9026,6,6
-83.72240175,-1397.34756,6,6
-88.78146541,-1399.79252,6,6
-93.83213427,-1402.26852,6,6
-98.87913427,-1404.75349,6,6
-103.9275792,-1407.2383,6,6
-108.9751343,-1409.72326,6,6
-114.0232948,-1412.20821,6,6
-119.0592307,-1413.54411,6,6
-124.0509659,-1410.89635,6,6
-129.0432261,-1408.2486,6,6
-134.0354848,-1405.60084,6,6
-139.0277419,-1402.95309,6,6
-144.020226,-1400.30535,6,6
-145.5713768,-1393.74826,6,6
-147.3226991,-1387.04261,6,6
-149.0740286,-1380.33696,6,6
-150.8253653,-1373.63131,6,6
-152.5870402,-1366.93042,6,6
-154.3681039,-1360.23841,6,6
-156.1491748,-1353.54641,6,6
-157.9302533,-1346.85456,6,6
-159.7113383,-1340.16256,6,6
-161.4924305,-1333.47056,6,6
-163.2735558,-1326.77872,6,6
-165.0546367,-1320.08673,6,6
-166.8357508,-1313.39489,6,6
-168.6167207,-1306.70291,6,6
-170.3979992,-1300.01092,6,6
-172.1791346,-1293.3191,6,6
-173.9602766,-1286.62712,6,6
-175.7420412,-1279.93529,6,6
-177.5225825,-1273.24332,6,6
-179.3037463,-1266.5515,6,6
-181.0849168,-1259.85953,6,6
-182.8661343,-1253.16772,6,6
-184.6472796,-1246.47576,6,6
-186.4284719,-1239.78395,6,6
-188.2101343,-1233.09199,6,6
-189.9908774,-1226.40019,6,6
-191.7720911,-1219.7084,6,6
-193.5533113,-1213.01644,6,6
-195.3345392,-1206.32465,6,6
-197.1153359,-1199.63271,6,6
-198.8970159,-1192.94092,6,6
-200.6781345,-1186.24913,6,6
-202.4591343,-1179.5572,6,6
-204.240951,-1172.86542,6,6
-206.022055,-1166.17364,6,6
-207.8033328,-1159.48186,6,6
-209.6027158,-1152.79852,6,6
-211.4210064,-1146.12406,6,6
-213.2393041,-1139.4496,6,6
-215.0576093,-1132.7753,6,6
-216.8751554,-1126.10086,6,6
-218.69424,-1119.42641,6,6
-220.5125659,-1112.75196,6,6
-222.3308994,-1106.07768,6,6
-224.1492394,-1099.40324,6,6
-225.9668691,-1092.7288,6,6
-227.7859412,-1086.05452,6,6
-229.6043024,-1079.38009,6,6
-231.4226712,-1072.70581,6,6
-233.2410466,-1066.03139,6,6
-235.059429,-1059.35697,6,6
-236.877819,-1052.6827,6,6
-238.6962155,-1046.00828,6,6
-240.5146196,-1039.33402,6,6
-242.3330303,-1032.65961,6,6
-244.1514485,-1025.98535,6,6
-245.9702847,-1019.31094,6,6
-247.7883057,-1012.63669,6,6
-249.6064811,-1005.96229,6,6
-251.425191,-999.28805,6,6
-253.2436446,-992.61381,6,6
-255.0621047,-985.93941,6,6
-256.87737,-979.26364,6,6
-258.6862373,-972.58481,6,6
-260.4951117,-965.90598,6,6
-262.3039932,-959.22716,6,6
-264.1131343,-952.54833,6,6
-265.8881343,-945.85435,6,6
-267.5599872,-939.11334,6,6
-269.23174,-932.37249,6,6
-270.9035001,-925.63165,6,6
-272.5752674,-918.8908,6,6
-274.3662631,-912.2045,6,6
