x_m,y_m,w_tr_right_m,w_tr_left_m
5867.573517,1682.649961,4,4
5867.423121,1672.807545,4,4
5866.489044,1665.578512,4,4
5865.122678,1658.149692,4,4
5863.839619,1652.498786,4,4
5860.909775,1644.611276,4,4
5858.429794,1638.903498,4,4
5854.26394,1631.09368,4,4
5842.990478,1610.590874,4,4
5828.585912,1581.071152,4,4
5818.828645,1555.298483,4,4
5810.098403,1530.677596,4,4
5804.882072,1515.552904,4,4
5801.937596,1505.006714,4,4
5800.45046,1498.649241,4,4
5799.609908,1491.462209,4,4
5799.5416,1487.859239,4,4
5799.760007,1482.479544,4,4
5800.839867,1476.587172,4,4
5802.078177,1471.825389,4,4
5804.220851,1466.293881,4,4
5808.081234,1460.337959,4,4
5811.67512,1455.056754,4,4
5826.80921,1438.32859,4,4
5840.211889,1424.161423,4,4
5851.449363,1415.48188,4,4
5867.027163,1405.996036,4,4
5878.829623,1401.39573,4,4
5887.065921,1398.871585,4,4
5903.495583,1395.404368,4,4
5920.477256,1392.089279,4,4
5940.60841,1387.343504,4,4
5947.375243,1384.94789,4,4
5954.332732,1381.701599,4,4
5959.650514,1377.8095,4,4
5964.329492,1373.712024,4,4
5969.557111,1367.519288,4,4
5973.679766,1360.454999,4,4
5976.419386,1353.2943,4,4
5977.883314,1346.590606,4,4
5984.970575,1250.283704,4,4
5988.595996,1203.980538,4,4
5988.644562,1198.62767,4,4
5988.136348,1192.944832,4,4
5986.725075,1185.695208,4,4
5985.214864,1180.328518,4,4
5983.247901,1175.708389,4,4
5980.51236,1171.086623,4,4
5975.916575,1163.96692,4,4
5971.488828,1158.867629,4,4
5964.47042,1152.691865,4,4
5955.736359,1147.55234,4,4
5947.141801,1143.899959,4,4
5937.641148,1141.751648,4,4
5925.885016,1140.67633,4,4
5909.304967,1141.221358,4,4
5844.86284,1145.765895,4,4
5795.28877,1152.259471,4,4
5746.199124,1158.239835,4,4
5732.792812,1157.988095,4,4
5723.173162,1156.711187,4,4
5714.691199,1153.812715,4,4
5709.528422,1151.559372,4,4
5704.281863,1148.306951,4,4
5699.351047,1144.623263,4,4
5695.292422,1140.56011,4,4
5691.586169,1135.575162,4,4
5688.159269,1130.393567,4,4
5685.475845,1124.279664,4,4
5680.090604,1104.219693,4,4
5675.956184,1091.513732,4,4
5672.982658,1082.815287,4,4
5668.888091,1074.77003,4,4
5664.236345,1067.440686,4,4
5651.164646,1050.791632,4,4
5608.244482,998.5744442,4,4
5593.535292,980.3229104,4,4
5588.404758,972.6615982,4,4
5584.937956,966.2684069,4,4
5569.413045,933.0410913,4,4
5555.550763,898.4005984,4,4
5552.104748,887.7567532,4,4
5550.21889,881.1430387,4,4
5548.490174,871.3764536,4,4
5547.893948,859.2652064,4,4
5548.325578,851.7658308,4,4
5549.262981,842.9622398,4,4
5553.898648,800.7369503,4,4
5555.337119,782.2514349,4,4
