Segment_ID;road_outer_left X;road_outer_left Y;road_outer_left Z;road_inner_left X;road_inner_left Y;road_inner_left Z;road_center X;road_center Y;road_center Z;road_inner_right X;road_inner_right Y;road_inner_right Z;road_outer_right X;road_outer_right Y;road_outer_right Z
61;-209.4896;152.9854;0.4316;-211.3452;157.6112;0.5598;-212.273;159.9241;0.6209;-213.2009;162.237;0.6819;-215.0565;166.8628;0.8073
62;-210.4883;152.5426;0.4468;-212.7291;156.9841;0.5668;-213.8495;159.2048;0.6295;-214.9699;161.4255;0.6922;-217.2108;165.867;0.8179
63;-211.4633;151.9937;0.4627;-214.058;156.2354;0.5772;-215.3554;158.3563;0.6401;-216.6528;160.4771;0.7031;-219.2475;164.7188;0.829
64;-212.4331;151.3252;0.4725;-215.3405;155.3636;0.5885;-216.7942;157.3828;0.6516;-218.2479;159.4021;0.7147;-221.1553;163.4405;0.8409
65;-213.416;150.5237;0.4872;-216.585;154.3672;0.6009;-218.1694;156.2889;0.6641;-219.7539;158.2106;0.7273;-222.9228;162.0541;0.8537
66;-214.4059;149.6161;0.5075;-217.7861;153.2812;0.6141;-219.4763;155.1137;0.6773;-221.1664;156.9462;0.7406;-224.5466;160.6113;0.8672
67;-215.3964;148.6291;0.5134;-218.9387;152.1406;0.6277;-220.7098;153.8964;0.6911;-222.4809;155.6521;0.7544;-226.0233;159.1637;0.8822
68;-216.3813;147.5895;0.5191;-220.0373;150.9806;0.6417;-221.8653;152.6762;0.705;-223.6933;154.3718;0.7683;-227.3492;157.7629;0.9049
69;-217.3546;146.524;0.5298;-221.0767;149.8362;0.6557;-222.9378;151.4923;0.719;-224.7989;153.1485;0.7822;-228.5211;156.4607;0.9107
70;-218.3448;145.41;0.5441;-222.0966;148.6746;0.6704;-223.9725;150.3069;0.7335;-225.8485;151.9392;0.7966;-229.6003;155.2039;0.9228
71;-219.3808;144.2247;0.5602;-223.1367;147.4629;0.6861;-225.0146;149.082;0.7491;-226.8926;150.7011;0.8121;-230.6485;153.9393;0.938
72;-220.4912;142.9454;0.5794;-224.2364;146.1682;0.7036;-226.109;147.7796;0.7664;-227.9817;149.3911;0.8292;-231.727;152.6139;0.9563
73;-221.7049;141.5494;0.6061;-225.4357;144.7578;0.7233;-227.3011;146.362;0.7865;-229.1665;147.9661;0.8497;-232.8973;151.1745;0.9836
74;-222.9746;140.0906;0.6398;-226.6885;143.2853;0.7445;-228.5454;144.8827;0.8102;-230.4024;146.4801;0.8759;-234.1163;149.6749;1.0039
75;-224.2532;138.6228;0.65;-227.949;141.8047;0.7663;-229.7969;143.3958;0.8334;-231.6449;144.9868;0.9006;-235.3408;148.1687;1.016
76;-225.4935;137.1998;0.6656;-229.1715;140.3698;0.7881;-231.0105;141.9549;0.8534;-232.8496;143.5399;0.9187;-236.5277;146.71;1.0355
