Loading track data from high_fidel_track.csv...
--------------------------------------------------------------------------------
SIM PHYSICS | MULTI-POINT VISION | FREE RACING LINE | AUTO-STOP
--------------------------------------------------------------------------------
C:\Users\zinov\AppData\Roaming\Python\Python312\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
...
Gen  7067 | Result: off_track    | Prog:   0.3% | Reward:   0.06 | Max Spd:   7.0 m/s | Time:   8.6s
Gen  7068 | Result: off_track    | Prog:   1.0% | Reward:   0.47 | Max Spd:   9.4 m/s | Time:  12.9s
Gen  7069 | Result: off_track    | Prog:   4.9% | Reward:   2.81 | Max Spd:  21.9 m/s | Time:  26.2s
Gen  7070 | Result: off_track    | Prog:   1.1% | Reward:   0.63 | Max Spd:  15.7 m/s | Time:   5.8s
Gen  7071 | Result: off_track    | Prog:   0.4% | Reward:   0.14 | Max Spd:  10.5 m/s | Time:   6.3s
Gen  7072 | Result: off_track    | Prog:   5.0% | Reward:   2.93 | Max Spd:  22.4 m/s | Time:  24.3s
Gen  7073 | Result: off_track    | Prog:   0.2% | Reward:   0.06 | Max Spd:   7.0 m/s | Time:   4.7s
Gen  7074 | Result: off_track    | Prog:   4.5% | Reward:   2.61 | Max Spd:  18.1 m/s | Time:  22.7s
Gen  7075 | Result: off_track    | Prog:   5.1% | Reward:   2.93 | Max Spd:  19.3 m/s | Time:  27.0s
Gen  7076 | Result: off_track    | Prog:   3.5% | Reward:   1.86 | Max Spd:  14.8 m/s | Time:  28.7s
Gen  7077 | Result: off_track    | Prog:   5.1% | Reward:   3.05 | Max Spd:  21.7 m/s | Time:  18.6s
Gen  7078 | Result: off_track    | Prog:   1.4% | Reward:   0.74 | Max Spd:  11.8 m/s | Time:  12.2s
Gen  7079 | Result: off_track    | Prog:   5.1% | Reward:   2.81 | Max Spd:  18.3 m/s | Time:  32.6s
Gen  7080 | Result: off_track    | Prog:   0.2% | Reward:   0.07 | Max Spd:   8.3 m/s | Time:   3.6s
Gen  7081 | Result: off_track    | Prog:   1.6% | Reward:   0.90 | Max Spd:  17.3 m/s | Time:  10.7s
Gen  7082 | Result: off_track    | Prog:   0.1% | Reward:  -0.04 | Max Spd:   6.1 m/s | Time:   7.0s
Gen  7083 | Result: off_track    | Prog:   2.2% | Reward:   1.04 | Max Spd:  13.3 m/s | Time:  26.5s
Gen  7084 | Result: off_track    | Prog:   0.3% | Reward:   0.11 | Max Spd:   7.3 m/s | Time:   4.2s
Gen  7085 | Result: off_track    | Prog:   4.3% | Reward:   2.27 | Max Spd:  18.8 m/s | Time:  36.7s
Gen  7086 | Result: off_track    | Prog:   4.9% | Reward:   2.91 | Max Spd:  25.8 m/s | Time:  21.0s
Gen  7087 | Result: off_track    | Prog:   5.1% | Reward:   3.01 | Max Spd:  18.1 m/s | Time:  25.4s
Gen  7088 | Result: off_track    | Prog:   5.1% | Reward:   2.95 | Max Spd:  19.7 m/s | Time:  27.9s
Gen  7089 | Result: off_track    | Prog:   0.6% | Reward:   0.25 | Max Spd:  10.7 m/s | Time:   9.0s
Gen  7090 | Result: off_track    | Prog:   0.5% | Reward:   0.17 | Max Spd:   7.8 m/s | Time:   6.9s
Gen  7091 | Result: off_track    | Prog:   2.3% | Reward:   1.15 | Max Spd:  12.9 m/s | Time:  18.5s
Gen  7092 | Result: off_track    | Prog:   0.1% | Reward:  -0.02 | Max Spd:   5.5 m/s | Time:   5.2s
Gen  7093 | Result: off_track    | Prog:   4.9% | Reward:   2.98 | Max Spd:  22.2 m/s | Time:  19.2s
Gen  7094 | Result: off_track    | Prog:   0.7% | Reward:   0.36 | Max Spd:  13.4 m/s | Time:   7.5s
Gen  7095 | Result: off_track    | Prog:   2.2% | Reward:   1.20 | Max Spd:  19.6 m/s | Time:  15.8s
Gen  7096 | Result: off_track    | Prog:   0.4% | Reward:   0.13 | Max Spd:   8.4 m/s | Time:   6.7s
Gen  7097 | Result: off_track    | Prog:   4.9% | Reward:   2.91 | Max Spd:  22.5 m/s | Time:  18.9s
Gen  7098 | Result: off_track    | Prog:   0.2% | Reward:   0.02 | Max Spd:   4.7 m/s | Time:   5.2s
Gen  7099 | Result: off_track    | Prog:   0.6% | Reward:   0.18 | Max Spd:  10.4 m/s | Time:  12.1s
Gen  7100 | Result: off_track    | Prog:   4.1% | Reward:   2.03 | Max Spd:  13.5 m/s | Time:  42.2s
Gen  7101 | Result: off_track    | Prog:   0.4% | Reward:   0.04 | Max Spd:   7.9 m/s | Time:  12.5s
Gen  7102 | Result: off_track    | Prog:   3.9% | Reward:   2.26 | Max Spd:  18.9 m/s | Time:  18.7s
Gen  7103 | Result: off_track    | Prog:   1.1% | Reward:   0.64 | Max Spd:  11.6 m/s | Time:   7.4s
Gen  7104 | Result: off_track    | Prog:   1.8% | Reward:   0.99 | Max Spd:  14.6 m/s | Time:  13.3s
Gen  7105 | Result: off_track    | Prog:   3.3% | Reward:   1.78 | Max Spd:  16.5 m/s | Time:  25.2s
Gen  7106 | Result: off_track    | Prog:   4.9% | Reward:   2.84 | Max Spd:  20.1 m/s | Time:  23.2s
Gen  7107 | Result: off_track    | Prog:   0.5% | Reward:   0.06 | Max Spd:   6.7 m/s | Time:  14.5s
Gen  7108 | Result: off_track    | Prog:   0.2% | Reward:   0.04 | Max Spd:   6.6 m/s | Time:   5.5s
Gen  7109 | Result: off_track    | Prog:   3.0% | Reward:   1.72 | Max Spd:  14.2 m/s | Time:  17.8s
Gen  7110 | Result: off_track    | Prog:   5.1% | Reward:   2.97 | Max Spd:  18.9 m/s | Time:  24.4s
Gen  7111 | Result: off_track    | Prog:   3.9% | Reward:   2.27 | Max Spd:  17.2 m/s | Time:  23.6s
Gen  7112 | Result: off_track    | Prog:   0.6% | Reward:   0.27 | Max Spd:   8.8 m/s | Time:   6.9s
Gen  7113 | Result: off_track    | Prog:   0.1% | Reward:  -0.07 | Max Spd:   7.7 m/s | Time:   5.3s
Gen  7114 | Result: off_track    | Prog:   4.9% | Reward:   2.82 | Max Spd:  22.2 m/s | Time:  28.5s
Gen  7115 | Result: off_track    | Prog:   0.7% | Reward:   0.24 | Max Spd:   8.3 m/s | Time:  13.7s
Gen  7116 | Result: off_track    | Prog:   5.0% | Reward:   2.94 | Max Spd:  19.2 m/s | Time:  21.2s
Gen  7117 | Result: off_track    | Prog:   0.8% | Reward:   0.45 | Max Spd:  13.2 m/s | Time:   5.6s
Gen  7118 | Result: off_track    | Prog:   2.3% | Reward:   1.23 | Max Spd:  19.0 m/s | Time:  20.5s
